acc0	acc1	acc2	gyro0	gyro1	gyro2	mag0	mag1	mag2	x	y	z	beta	Qx	Qy	Qz	Qw	delta_t	delta_x	delta_y	delta_z
-0.0029	0.0003	0.0007	-0.0222	0.0047	-0.0008	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0131	0.005	0.021	0.001	1.0	0.0819	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.021	-0.0023	-0.0014	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	0.09	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.0228	0.007	0.0006	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.1638	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0188	0.0008	-0.0027	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.001	1.0	0.0963	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0085	-0.0124	0.0008	-0.5292	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0123	0.009	0.019	0.0	1.0	0.0909	0.0	0.0	0.0
-0.0029	0.0023	-0.0003	-0.0131	0.0109	-0.0014	-0.5292	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0936	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0222	0.0086	-0.001	-0.5292	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.2502	0.0	0.0	0.0
-0.0039	0.0033	0.0007	-0.0205	0.0	-0.0034	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0783	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0159	0.014	-0.0026	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0873	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0199	0.0094	0.0016	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.3258	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0131	0.0109	-0.0003	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.072	0.0	0.0	0.0
-0.0039	0.0023	-0.0003	-0.0176	0.0015	0.0014	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0837	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0171	-0.0008	0.0018	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0828	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0154	0.0078	-0.001	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.3222	0.0	0.0	0.0
-0.0039	0.0013	-0.0003	-0.0131	0.0117	-0.0014	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0801	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0125	0.0101	0.0002	-0.5032	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0127	0.006	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0019	0.0003	-0.0003	-0.0136	0.0101	-0.0002	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0123	0.009	0.019	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0023	-0.0003	-0.0256	-0.0078	0.001	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.3321	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0319	0.0117	0.0005	-0.5162	-0.6674	-0.4945	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0023	-0.0003	-0.021	0.0054	-0.0018	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0132	0.005	0.021	0.0	1.0	0.0801	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.0154	0.0031	0.0	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0132	0.005	0.021	0.0	1.0	0.4167	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0222	0.0039	-0.0003	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0126	0.009	0.02	0.0	1.0	0.0801	0.0	0.0	0.0
-0.0029	0.0003	0.0007	-0.0148	0.0023	-0.0026	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0135	0.005	0.021	0.001	1.0	0.09	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0216	0.0	0.0016	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0205	-0.0008	0.0016	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.2448	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.021	0.0031	0.0	-0.5032	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0117	0.008	0.018	0.0	1.0	0.0792	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0199	0.0039	0.0018	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.013	0.005	0.02	0.001	1.0	0.0819	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.0142	0.0047	0.001	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.3429	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0171	0.0148	-0.0018	-0.5032	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0176	0.0008	-0.0016	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0128	0.005	0.02	0.0	1.0	0.0801	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0176	0.0023	-0.0005	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.333	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.0199	-0.0054	0.0005	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0119	-0.0008	-0.0006	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.3483	0.0	0.0	0.0
-0.0029	0.0003	-0.0003	-0.0176	0.0023	0.0005	-0.5032	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.081	0.0	0.0	0.0
-0.0019	0.0013	-0.0003	-0.0302	0.0	-0.0019	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.4212	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0199	-0.0015	-0.0016	-0.5032	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0199	0.0078	-0.0011	-0.5032	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0131	0.006	0.021	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.021	0.0047	-0.0019	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0801	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0194	0.0023	0.0008	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0792	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.021	0.0156	-0.0008	-0.5032	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0127	0.006	0.02	0.0	1.0	0.4221	0.0	0.0	0.0
-0.0029	0.0023	0.0007	-0.0182	0.0094	-0.0024	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0119	0.01	0.019	-0.001	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.021	0.0047	-0.0018	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0148	0.0062	0.0011	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0117	0.008	0.018	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0205	0.0086	0.0014	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.3402	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0222	0.0101	0.0013	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0126	0.006	0.02	0.0	1.0	0.09	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0228	0.014	-0.0002	-0.5032	-0.6538	-0.4615	-0.582	0.221	0.402	-0.013	0.005	0.02	0.0	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0154	0.0101	-0.0018	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0119	0.01	0.019	-0.001	1.0	0.081	0.0	0.0	0.0
-0.0029	0.0013	0.0007	-0.0114	0.007	-0.0003	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0117	0.008	0.018	0.0	1.0	0.3321	0.0	0.0	0.0
-0.0039	0.0013	0.0007	-0.0205	0.0094	-0.0013	-0.5032	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.0819	0.0	0.0	0.0
-0.0029	0.0013	-0.0003	-0.0245	0.0054	-0.0022	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0133	0.005	0.021	0.0	1.0	0.0918	0.0	0.0	0.0
-0.0019	0.0013	-0.0003	-0.0142	0.0094	0.0013	-0.5162	-0.6538	-0.4615	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.3546	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0176	0.0015	-0.0018	-0.5162	-0.6538	-0.5275	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.081	0.0	0.0	0.0
-0.0039	0.0023	0.0007	-0.0194	-0.0023	-0.0014	-0.5162	-0.6538	-0.4945	-0.582	0.221	0.402	-0.0117	0.008	0.018	0.0	1.0	0.0846	0.0	0.0	0.0
0.0891	0.0463	0.0417	-0.0302	-0.0195	0.0	-0.7408	-0.4214	-0.9341	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.4176	0.0	0.0	0.0
0.0021	-0.2357	-0.0953	-0.1713	0.0911	0.0263	-0.5421	-0.6674	-0.3297	-0.582	0.221	0.402	-0.0117	0.009	0.018	0.0	1.0	0.0801	0.0	0.0	0.0
-0.0059	-0.2097	-0.0443	0.0614	0.0078	0.0943	-0.4644	-0.6538	-0.6374	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.4185	0.0	0.0	0.0
0.0531	-0.1567	0.0707	-0.025	0.0257	0.039	-0.5292	-0.6264	-0.7692	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.0	1.0	0.0774	0.0	0.0	0.0
-0.0199	-0.0777	0.0177	0.0381	-0.007	0.0802	-0.3996	-0.7494	-0.8352	-0.582	0.221	0.402	-0.0122	0.009	0.019	0.0	1.0	0.3294	0.0	0.0	0.0
-0.0449	-0.0517	0.0347	0.0171	-0.0109	0.0543	-0.4514	-0.7084	-0.6703	-0.582	0.221	0.402	-0.0129	0.005	0.02	0.001	1.0	0.0864	0.0	0.0	0.0
